24	25	
0.7384	0.5048		8779	9385	6935		335858	325898	336648	
0.4155	0.324		5776	5964	5656		306590	305742	306182	
0.9699	0.2424		7292	7514	6618		338468	344361	327123	
0.4627	0.7096		7870	7661	7589		329911	323187	320848	
0.1093	0.3582		4255	4741	4524		324544	321045	326438	
0.1846	0.3665		4380	4495	4393		326396	329082	319802	
0.9956	0.192		6899	6915	6941		327337	328153	318768	
0.537	0.6733		7903	7778	7786		336468	327743	339701	
0.8923	0.8223		11220	11026	11675		303966	315781	289324	
0.9003	0.9995		11785	11545	11770		333873	327265	325005	
0.4977	0.579		6983	7144	7130		316210	313814	319006	
0.7135	0.3186		7610	6953	5676		332210	313909	297303	
0.2053	0.7565		6328	6168	6079		288252	296563	302227	
0.4928	0.1897		5379	5285	5139		313597	324017	313951	
0.8384	0.9226		9685	10263	11327		328332	305080	313756	
0.3379	0.4538		5574	5152	4980		316579	292415	288371	
0.0739	0.5714		3786	4013	3840		278476	279706	287557	
0.5948	0.8815		8613	8625	8825		250802	249774	249270	
0.2054	0.1334		3133	3218	3069		263316	268438	264155	
0.8316	0.8529		9801	9830	10110		271593	273398	269439	
0.5283	0.2236		5513	5379	5395		387350	343153	322914	
0.7394	0.1301		5854	6518	6087		315154	318301	319790	
0.3409	0.9896		8183	8354	7859		314475	332222	307317	
0.729	0.356		5880	6067	6109		266882	262665	271236	
0.763	0.5703		7980	7733	8386		261492	276100	299591	
0.0857	0.6547		4082	4294	4487		277605	301894	302473	
0.5782	0.0776		4430	4205	4280		311855	303733	273730	
0.0927	0.7706		4384	4548	4381		242493	239702	238685	
0.3178	0.6533		6107	5540	5733		263194	262206	261801	
0.0503	0.1879		3291	3644	3199		298987	291050	282852	
0.4348	0.5484		5727	5820	5551		262590	249905	248460	
0.1202	0.4261		4494	4465	4406		301379	299996	298631	
0.8416	0.5729		8416	9371	9389		331461	308225	325161	
0.3544	0.4734		5400	6435	5297		321501	336186	313281	
0.7175	0.3906		6295	6393	6540		276088	272609	273195	
0.5879	0.1354		4189	4374	4495		242848	238648	251148	
0.9372	0.928		11033	11597	9705		259556	278372	268878	
0.8076	0.9749		8829	10140	11135		282304	286683	307408	
0.4705	0.0621		4384	4454	4238		305316	306916	304469	
0.2447	0.7969		6545	6487	6514		334583	332484	335244	
0.5736	0.0818		4227	3410	3342		290119	257496	265419	
0.0717	0.472		3426	3445	3485		271212	271112	278428	
0.7874	0.4993		7150	4645	7200		248804	244287	265162	
0.1334	0.2921		3371	3381	3259		258226	260591	261644	
0.8481	0.9453		10680	11209	10296		276364	289358	302626	
0.2539	0.8619		6013	5889	6129		268589	263932	273560	
0.3245	0.901		7000	7105	7598		281832	290449	330266	
0.6212	0.691		4593	5601	8261		241339	218793	302468	
0.589	0.6138		7837	7638	7629		316084	319080	324165	
0.7322	0.5737		8400	8617	7591		329140	305210	336094	
0.3847	0.1446		4630	4684	4888		310829	317330	320706	
0.9891	0.2152		6708	6483	6453		286240	277490	290541	
0.2926	0.8317		6626	6744	6810		278286	282525	282524	
0.7801	0.5491		8235	4890	7154		321606	230673	210877	
0.853	0.8797		11295	11910	11032		330954	334059	323781	
0.5793	0.0684		4758	5003	4752		297885	299795	305671	
0.6308	0.6037		7949	7860	11557		313090	317103	325534	
0.0548	0.6691		5010	4920	5051		315237	318635	321713	
0.7792	0.3079		6993	6979	6773		307839	319251	326619	
0.8439	0.8888		11404	11617	11658		323572	325015	326659	
0.4399	0.6306		7214	7283	7397		298882	302592	303118	
0.525	0.2665		6189	5980	6316		314402	351081	347777	
0.0552	0.7599		6163	4641	4770		281546	284229	298653	
0.8666	0.9515		10709	10853	10886		258379	268445	267118	
0.5526	0.5058		6413	6205	6840		255664	255907	260212	
0.961	0.153		5896	6084	5964		277844	279844	283435	
0.3687	0.617		5423	5450	5449		271263	271053	271285	
0.3066	0.0818		3152	3033	3355		271021	276942	275123	
0.1656	0.2599		3257	4157	4163		255539	280323	278412	
0.5234	0.5119		6555	6650	6721		282360	286396	284059	
0.0591	0.1622		2612	2236	2520		269502	257822	273404	
0.565	0.745		7233	7364	7379		262857	265261	270793	
0.1406	0.1379		2847	2751	2784		262032	265469	266283	
0.2408	0.0723		2836	3083	3933		252403	257699	270298	
0.5869	0.9717		9706	9402	9444		306603	299322	296005	
0.2147	0.576		5492	5585	5624		313140	315303	314456	
0.9729	0.2338		7067	7484	7298		311774	321116	312840	
0.6111	0.5317		7699	7770	7904		312456	325280	322823	
0.9759	0.6615		8265	10914	10017		327287	344928	328009	
0.1728	0.6229		4629	4536	4453		244574	246140	246883	
0.6678	0.8647		8903	8860	8801		248535	249412	250833	
0.5225	0.958		8133	8126	8109		269482	275275	269073	
0.9521	0.7738		10473	10497	10515		258838	264789	265316	
0.2241	0.0589		2810	2791	2760		245449	251941	253888	
