26	27	
0.1465	0.2479		44971	47551	40213	40671	41627	46837	36403	43168	39169	48853		1533076	1530509	1369030	1388400	1339147	1745137	1258934	1423836	1387569	1395416	
0.4183	0.2886		45163	38509	42301	43344	45029	52560	37291	54826	38899	50732		1434165	1179019	1314522	1338167	1212980	1332560	1017751	1349641	1056406	1110653	
0.708	0.3329		49952	42968	58926	45676	66092	46540	51379	44846	43186	46665		1290031	1308338	1466986	1229933	1517916	1381132	1431512	1283545	1117407	1366898	
0.6987	0.3879		48420	64465	51468	61773	47458	46872	52595	48283	43624	48454		1410058	1410203	1372097	1722283	1405343	1334753	1378350	1281074	1222992	1227886	
0.3844	0.8257		59774	44888	45217	63783	59261	49708	62761	45718	48222	60371		1423223	1384706	1276589	1608933	1584681	1509267	1679538	1318437	1343222	1639462	
0.1354	0.4667		35070	48141	41911	40081	41744	39347	46081	49900	38487	37579		1236324	1370966	1384147	1312603	1243600	1474567	1294589	1607957	1207898	1290396	
0.6501	0.5475		54871	63454	55723	65279	63853	45518	61928	57346	65181	47305		1463915	1693551	1449923	1538380	1588419	1203219	1436459	1551093	1572320	1125148	
0.2463	0.1628		32502	28950	37998	31823	32279	34345	40279	35528	36968	34905		1025715	981458	1197574	1006778	979827	1043558	1150074	1184003	1103440	1108094	
0.5571	0.3901		50541	44656	44053	44759	48959	46829	48351	44341	47517	60164		1375815	1116685	1104778	1258597	1326663	1257394	1305730	1217071	1300129	1526727	
0.4919	0.8659		103748	52917	50881	52871	52353	55763	62325	50551	50825	54434		1380227	1159570	1192722	1239160	1418953	1287729	1368384	1273277	1237622	1376987	
0.9021	0.3445		64715	64509	61370	65966	67634	64946	63946	50230	73221	64342		1538640	1500307	1391326	1532881	1382852	1331947	1508098	1267466	1461092	1551824	
0.1663	0.1804		36497	37672	43879	39775	30672	43929	29866	37229	34495	43333		1284716	1228466	1417724	1042891	1021999	1386707	1039339	1222140	1178890	1294796	
0.8202	0.1911		44673	68219	46225	72488	46991	57117	48408	61850	45909	61846		1537494	1527758	1238763	1403123	1249655	1481114	1396757	1408936	1257656	1328119	
0.7873	0.9332		73642	72582	71098	57285	73916	67690	73374	110919	76055	57966		1408861	1487661	1480161	1119281	1337789	1059622	1251768	1298760	1428745	1340800	
0.4438	0.9371		48854	62570	52707	60093	66544	48243	52082	50109	52364	66084		1172825	1489985	1295905	1501560	1499670	1001344	1329540	1212321	1282666	1234657	
0.7664	0.4132		53545	54077	51468	57620	61970	45549	55330	70600	55548	49849		1572642	1252963	1341823	1278628	1529205	1175780	1380629	1378501	1452988	1280951	
0.589	0.3127		59889	57542	45728	44175	47439	57517	46276	64825	49968	52576		1592699	1593513	1368556	1361463	1467895	1393794	1467570	1315438	1371535	1220347	
0.2751	0.144		45453	40030	35381	35393	39511	35259	37071	46997	47166	33722		1421068	1234699	1106506	1180439	1319991	1289896	1153749	1475841	1504802	1056795	
0.4807	0.1074		39692	35274	38063	41846	40217	39258	39425	53527	41100	39506		1227905	1151843	1271591	1246264	1272912	1326977	1346595	1611657	1187727	1222618	
0.6778	0.2122		58241	81961	62838	49892	47253	55051	48219	64032	48032	60586		1669306	1338126	1511154	1362384	1447302	1478103	1283597	1321479	1380570	1506619	
0.7731	0.9501		78619	80551	81969	62665	99444	68471	66582	61115	62248	60506		1699277	1343429	1521942	1218614	1373284	1301467	1289106	1298005	1170950	1086457	
0.5255	0.1509		50167	56891	52104	57689	42977	42064	56823	44937	45077	53303		1444836	1475901	1347860	1235523	1179999	1244583	1386382	1195236	1278978	1315868	
0.082	0.2328		35116	36058	45157	35883	33889	34449	31038	48539	36593	51115		1220212	1270590	1570535	1368453	1187638	1126195	1214969	1353876	1302525	1288396	
0.186	0.6425		40768	60536	52275	38310	43031	48865	60888	39673	46239	45073		1368134	1447885	1529857	1340088	1365637	1329870	1204881	1303858	1387535	1255074	
0.9394	0.7842		67550	69820	68810	89025	65323	59621	67596	64872	62221	81958		1505077	1530069	1281361	1765903	1191330	1076401	1237987	1219514	1148132	1480835	
0.1854	0.3575		39341	34936	57988	45353	43703	50713	69565	105546	41696	38783		1686585	1405331	2166333	1505240	1389539	1687508	1766446	2340638	1629677	1285272	
0.4644	0.7421		69733	48616	51996	58686	47501	43536	49735	47087	93903	101019		1450212	1252859	1345372	1571843	1217880	1088387	1226983	1161410	1577809	2008843	
0.9389	0.8984		146932	147594	135250	134144	80561	118207	60946	60577	118806	117502		2000551	2029084	2135702	2040048	2276354	2348513	1152771	1168165	2276820	1849542	
