4	5	
0.0842	0.646		56304	68471	50280	52695	59878	66711	36217	70703	45755	52387		1533076	1530509	1369030	1388400	1339147	1745137	1258934	1423836	1387569	1395416	
0.4155	0.3355		68673	45235	40239	51540	46524	58594	42600	61504	48229	48027		1434165	1179019	1314522	1338167	1212980	1332560	1017751	1349641	1056406	1110653	
0.9465	0.3749		64873	70931	77969	72480	63007	73033	69244	75693	67863	88538		1290031	1308338	1466986	1229933	1517916	1381132	1431512	1283545	1117407	1366898	
0.8935	0.5435		74120	79948	81959	80328	75847	77526	77165	74119	63994	71762		1410058	1410203	1372097	1722283	1405343	1334753	1378350	1281074	1222992	1227886	
0.1409	0.0993		31886	31903	48557	37679	51664	55000	53429	32190	33243	43772		1423223	1384706	1276589	1608933	1584681	1509267	1679538	1318437	1343222	1639462	
0.2575	0.7121		48940	54910	50016	53206	53104	75756	45904	61539	62384	56479		1236324	1370966	1384147	1312603	1243600	1474567	1294589	1607957	1207898	1290396	
0.0744	0.4028		38891	49339	40665	38890	39752	42163	37803	47127	50187	35282		1463915	1693551	1449923	1538380	1588419	1203219	1436459	1551093	1572320	1125148	
0.2494	0.7998		47758	54161	31846	35447	41357	41149	48637	47676	38172	45487		1025715	981458	1197574	1006778	979827	1043558	1150074	1184003	1103440	1108094	
0.1611	0.7062		58152	44811	32838	43152	42921	38897	38946	43074	37478	53289		1375815	1116685	1104778	1258597	1326663	1257394	1305730	1217071	1300129	1526727	
0.7536	0.5861		77082	56799	39041	58238	63535	51866	57868	71866	56536	73308		1380227	1159570	1192722	1239160	1418953	1287729	1368384	1273277	1237622	1376987	
0.3944	0.2369		42669	53197	60096	50613	36248	36924	35642	42188	42231	60392		1538640	1500307	1391326	1532881	1382852	1331947	1508098	1267466	1461092	1551824	
0.1521	0.173		34613	37317	36233	29601	31064	53953	32196	25208	49829	49167		1284716	1228466	1417724	1042891	1021999	1386707	1039339	1222140	1178890	1294796	
0.6608	0.4139		52430	46371	51465	72013	47940	58601	84720	51436	65223	65557		1537494	1527758	1238763	1403123	1249655	1481114	1396757	1408936	1257656	1328119	
0.9605	0.6933		57930	63585	96996	65726	76939	56291	55636	64151	68539	73773		1408861	1487661	1480161	1119281	1337789	1059622	1251768	1298760	1428745	1340800	
