35	36	37	
0.2918	0.6483	0.4713		73214	55079	76129	67148	69570	101127	81653	67307	68601	57618		1533076	1530509	1369030	1388400	1339147	1745137	1258934	1423836	1387569	1395416	
0.6366	0.5891	0.9061		138246	71162	111945	66722	73680	82213	83156	70709	61749	79619		1434165	1179019	1314522	1338167	1212980	1332560	1017751	1349641	1056406	1110653	
0.5302	0.6128	0.8025		107979	67693	66503	72684	67956	76391	56645	71962	56891	58693		1290031	1308338	1466986	1229933	1517916	1381132	1431512	1283545	1117407	1366898	
0.4614	0.3516	0.6027		74118	74145	68714	106287	71159	65510	67138	69536	103334	55033		1410058	1410203	1372097	1722283	1405343	1334753	1378350	1281074	1222992	1227886	
0.8886	0.6405	0.3375		93236	88372	76258	113721	80755	68699	86862	84802	69179	94475		1423223	1384706	1276589	1608933	1584681	1509267	1679538	1318437	1343222	1639462	
0.2807	0.6365	0.3207		62619	72131	66733	59092	60929	87075	58618	111520	47095	57998		1236324	1370966	1384147	1312603	1243600	1474567	1294589	1607957	1207898	1290396	
0.83	0.6808	0.4569		96074	95208	94520	70012	81502	71658	86145	70543	83985	62923		1463915	1693551	1449923	1538380	1588419	1203219	1436459	1551093	1572320	1125148	
0.2027	0.7124	0.0839		63964	35090	51633	39699	55417	48782	44280	49612	53003	43439		1025715	981458	1197574	1006778	979827	1043558	1150074	1184003	1103440	1108094	
0.6276	0.7159	0.5035		67073	67601	66043	69848	90180	59831	87851	67762	86472	77740		1375815	1116685	1104778	1258597	1326663	1257394	1305730	1217071	1300129	1526727	
0.86	0.7659	0.3438		68746	46699	69401	100105	67864	75115	67674	67101	94783	82887		1380227	1159570	1192722	1239160	1418953	1287729	1368384	1273277	1237622	1376987	
0.9965	0.4993	0.8843		93021	74473	76096	75315	75266	62653	75317	80669	74356	83234		1538640	1500307	1391326	1532881	1382852	1331947	1508098	1267466	1461092	1551824	
0.8976	0.0729	0.5285		78301	62675	50060	56890	67010	57293	60502	63112	52674	68417		1284716	1228466	1417724	1042891	1021999	1386707	1039339	1222140	1178890	1294796	
0.1203	0.6884	0.3342		93537	64121	59222	67346	85840	55160	67638	52528	55042	67818		1537494	1527758	1238763	1403123	1249655	1481114	1396757	1408936	1257656	1328119	
