12	13	
0.5267	0.4673		56653	81239	57972	70189	104544	109431	91506	103170	76356	75412		1177353	1489559	1267012	1442488	1942051	1679686	1501786	1856773	1457238	1425379	
0.9613	0.8401		100820	94783	80093	105245	98593	78591	82556	68861	79093	77274		1523650	1761591	1921163	2109518	1653137	1360194	1511975	1088679	1338128	1527442	
0.4235	0.7157		64610	72512	61566	67230	55361	100207	95154	68396	63121	88130		1310168	1278292	1263475	1075197	1060037	1843390	1591905	1261141	1047925	1310140	
0.841	0.2903		62404	65869	78794	117705	91738	66950	80078	79514	76291	95231		1596145	1204868	1338400	1373239	1969608	1360998	1353959	1543277	1454844	1616988	
0.2983	0.9421		64622	80993	93911	78181	57645	94045	95210	79209	85798	79988		1243161	1479583	1602402	1407914	1236985	1670711	1653894	1212919	1508089	1694909	
0.5035	0.0911		75200	58842	72371	67184	86979	77757	67381	68930	88881	87375		1062408	1049808	1364446	1360146	1480231	1262888	1244655	1309656	1562093	1528587	
0.9571	0.7728		99901	91596	77605	108069	79911	105889	74094	92483	100833	88831		1608229	1511790	1185925	1373479	1176087	1415764	1254025	1395085	1274904	1532960	
0.3137	0.6866		76688	89766	72281	79021	84706	76917	99507	93759	87928	60019		1253326	1353466	1351232	1337194	1594129	1387675	1798852	1675672	1256236	1275361	
0.7961	0.4528		71761	71072	49749	69066	65355	70518	71158	89745	64597	67697		1288947	1357046	1487700	1377862	1258502	1249290	1299902	1392368	1250476	1467093	
0.7031	0.0738		86780	59732	60882	63738	67270	80414	50336	50824	51160	113353		1413332	1237351	1184874	1359880	1254685	1564785	1236729	1107489	1222351	1320495	
0.6753	0.4269		51296	50854	45359	67723	57515	58284	54805	83810	64969	55702		1143438	1311835	1443174	1281778	1298048	1299185	1438778	1606183	1376403	1375859	
0.768	0.2332		49414	79941	58650	57596	57970	65924	65194	69494	92961	76502		1082991	1435150	1276768	1279376	1309609	1305337	1186832	1327508	1515203	1355051	
0.6678	0.8669		103489	106024	86748	100349	105953	68999	99372	100613	71009	86003		1498572	1478554	1417593	1546965	1375206	1029879	1141408	1375411	1171426	1374105	
0.8763	0.4572		74152	93985	61070	60344	68012	83411	61105	74790	95451	97562		1498480	1357743	1290692	1403369	1253590	1260583	1151872	1351245	1523390	1494991	
0.9567	0.1772		66127	64701	56404	58318	71721	73216	56744	66709	68830	87839		1282990	1316255	1211973	1225086	1397098	1354222	1268918	1389663	1569813	1588218	
0.6077	0.1807		56551	66197	48999	59493	66956	73580	68459	67495	72584	82879		1283427	1252610	1053371	1206907	1364829	1281099	1315175	1327967	1585171	1361618	
0.4241	0.8028		81845	84012	100773	75837	81762	65694	58515	64655	82051	70665		1468768	1526070	1648014	1338010	1410422	1445345	1150260	1198182	1305604	1526850	
0.195	0.4003		47441	48584	50880	74333	42135	66347	51273	49194	41210	46756		1144294	1232792	1157409	1170813	1184797	1350111	1197548	1207055	1052461	1272262	
0.4242	0.8244		93210	60581	76877	72460	98507	71904	63994	60029	62248	60315		1335480	1215557	1320100	1404478	1403900	1185302	1134072	1032562	1090637	1016745	
0.8411	0.3289		59659	62983	49361	59536	70155	66661	74164	73576	88593	49279		1343681	1283250	1390907	1209348	1331610	1335074	1542963	1293417	1737198	1266918	
0.2114	0.7382		54214	89958	76946	67952	78089	65861	65420	61693	87446	60999		1119155	1340164	1426025	1248207	1167340	1119862	1282695	1150003	1370814	1153805	
