6	7	
0.3075	0.425		23729	23617	22161		335858	325898	336648	
0.227	0.2162		21901	20807	20224		306590	305742	306182	
0.548	0.4389		25639	25624	24064		338468	344361	327123	
0.1948	0.7622		24531	23911	24319		329911	323187	320848	
0.3238	0.5975		25017	24783	23396		324544	321045	326438	
0.0998	0.3132		18688	18628	17417		326396	329082	319802	
0.5629	0.9472		24672	26260	25362		327337	328153	318768	
0.8365	0.9787		27591	27712	25773		336468	327743	339701	
0.9611	0.9527		30146	30267	23390		303966	315781	289324	
0.8954	0.4039		25766	25654	25995		333873	327265	325005	
0.1788	0.2009		18137	18523	20850		316210	313814	319006	
0.0855	0.3736		20794	19332	19398		332210	313909	297303	
0.8357	0.7595		21322	27296	28329		288252	296563	302227	
0.9402	0.2292		24185	21243	24839		313597	324017	313951	
0.1169	0.1124		20861	17149	17573		328332	305080	313756	
0.9272	0.8647		28422	27900	28689		316579	292415	288371	
0.7732	0.6045		24350	24320	24896		278476	279706	287557	
0.1748	0.0558		16486	15204	15274		250802	249774	249270	
0.9917	0.6932		26710	28239	27291		263316	268438	264155	
0.9658	0.1616		22693	22939	22825		271593	273398	269439	
0.4262	0.1498		22429	23837	23591		387350	343153	322914	
0.7622	0.2995		21680	23459	23906		315154	318301	319790	
0.0541	0.6983		19031	19559	20851		314475	332222	307317	
0.7885	0.6363		24457	25112	25194		266882	262665	271236	
0.1419	0.5049		17434	17803	20939		261492	276100	299591	
0.7754	0.8948		26041	24946	27953		277605	301894	302473	
0.826	0.7686		30104	27509	23235		311855	303733	273730	
0.9318	0.263		23220	24046	22909		242493	239702	238685	
0.6628	0.3975		20682	20769	19150		263194	262206	261801	
0.116	0.4001		19757	19757	20324		298987	291050	282852	
0.9306	0.2068		21760	21463	21148		262590	249905	248460	
0.5023	0.5428		21511	21083	22836		301379	299996	298631	
0.4272	0.8141		26539	20096	25604		331461	308225	325161	
0.6867	0.2741		25037	23854	26256		321501	336186	313281	
0.626	0.5086		24021	21900	22764		276088	272609	273195	
0.3833	0.4446		19091	19120	19593		242848	238648	251148	
0.8683	0.3687		22009	24947	23246		259556	278372	268878	
0.1041	0.4228		18186	22508	20974		282304	286683	307408	
0.0853	0.0597		15738	16228	15976		305316	306916	304469	
0.6746	0.0696		20815	20452	21725		334583	332484	335244	
0.3476	0.6077		21376	23726	17228		290119	257496	265419	
0.8227	0.2055		21211	21944	22438		271212	271112	278428	
0.396	0.757		20770	20936	22813		248804	244287	265162	
0.2364	0.7912		18943	18799	19646		258226	260591	261644	
