30	31	
0.744	0.6705		32018	44584	33977	36155	44784	39312	29775	38768	30243	39581		1177353	1489559	1267012	1442488	1942051	1679686	1501786	1856773	1457238	1425379	
0.7956	0.3939		24178	34973	72936	34761	35329	26288	30847	24486	27958	36979		1523650	1761591	1921163	2109518	1653137	1360194	1511975	1088679	1338128	1527442	
0.2288	0.1409		13540	15403	13356	13930	12896	22123	22423	18320	12282	16089		1310168	1278292	1263475	1075197	1060037	1843390	1591905	1261141	1047925	1310140	
0.8579	0.7144		38224	30083	34627	33651	65545	33669	34668	32047	38806	42653		1596145	1204868	1338400	1373239	1969608	1360998	1353959	1543277	1454844	1616988	
0.1376	0.2331		13304	21458	19480	17375	14251	21598	23483	13699	19571	21486		1243161	1479583	1602402	1407914	1236985	1670711	1653894	1212919	1508089	1694909	
0.3814	0.1941		13894	14317	18719	20487	25646	16871	17788	16323	25751	25515		1062408	1049808	1364446	1360146	1480231	1262888	1244655	1309656	1562093	1528587	
0.3188	0.0929		22603	22918	15642	19792	14362	21064	18342	18008	17611	21625		1608229	1511790	1185925	1373479	1176087	1415764	1254025	1395085	1274904	1532960	
0.1277	0.7904		19177	26238	19779	18266	25939	19478	26590	27101	18126	18281		1253326	1353466	1351232	1337194	1594129	1387675	1798852	1675672	1256236	1275361	
0.2449	0.2191		18134	18278	22946	20252	15828	21322	16544	17371	15593	17649		1288947	1357046	1487700	1377862	1258502	1249290	1299902	1392368	1250476	1467093	
0.907	0.3639		34679	27667	26195	34622	25940	34071	27211	25397	31802	32275		1413332	1237351	1184874	1359880	1254685	1564785	1236729	1107489	1222351	1320495	
0.5091	0.4317		21691	20474	20604	19841	21290	21405	24016	32329	23757	30751		1143438	1311835	1443174	1281778	1298048	1299185	1438778	1606183	1376403	1375859	
0.5308	0.266		15344	22770	19515	26139	19113	20769	19543	21977	28814	22919		1082991	1435150	1276768	1279376	1309609	1305337	1186832	1327508	1515203	1355051	
0.198	0.3712		15468	24695	23181	29534	19922	13973	15172	16471	13928	18150		1498572	1478554	1417593	1546965	1375206	1029879	1141408	1375411	1171426	1374105	
0.9519	0.5574		41162	33501	44045	36538	30745	31184	29880	31096	39309	34042		1498480	1357743	1290692	1403369	1253590	1260583	1151872	1351245	1523390	1494991	
