35	36	37	
0.6167	0.106	0.6112		18441	16580	15032		673889	700388	612693	
0.7767	0.7938	0.6471		24969	26597	26733		551702	555216	585124	
0.8077	0.2988	0.0997		25334	20894	22788		654474	652269	665543	
0.5488	0.8419	0.0861		19990	20223	19393		683593	648626	626777	
0.0729	0.2973	0.3733		12652	13415	13563		631736	615181	665026	
0.218	0.979	0.6984		22174	17268	17443		678457	585899	583507	
0.136	0.0804	0.0761		18696	8742	8577		654610	628706	599338	
0.5503	0.7898	0.2455		19398	17121	17197		599957	647455	639708	
0.693	0.8137	0.1172		22166	21319	17207		697510	726720	696014	
0.976	0.8113	0.2374		26528	17015	23528		712429	684067	657151	
0.8057	0.5677	0.507		20410	25215	20397		552969	657099	562893	
0.1011	0.4449	0.6028		15370	13611	13682		654117	611305	595469	
0.5738	0.5996	0.5721		19949	18380	18275		591871	571940	665263	
0.3204	0.1378	0.2777		14698	10346	14184		675162	598790	690384	
0.8614	0.4458	0.9858		26432	24042	24661		710677	704319	725772	
0.3533	0.0653	0.1596		8591	9514	9994		640609	571299	585237	
0.3921	0.2234	0.75		16611	20737	17911		637245	669442	678868	
0.8963	0.2664	0.059		23037	16056	18464		567367	603834	655331	
0.2233	0.4526	0.6946		18417	14175	19090		642066	651019	661581	
0.479	0.3964	0.7944		23080	23000	22994		707593	718767	722766	
0.933	0.3348	0.2132		23025	21858	22723		677185	690891	703049	
0.1661	0.6118	0.9372		17643	17705	16965		559426	649703	667133	
0.7759	0.1228	0.1241		15096	27842	15147		644667	587755	663801	
0.8072	0.6828	0.2548		22390	17970	17809		671151	674899	590879	
0.8826	0.2741	0.7618		29577	22463	21055		590243	622979	686549	
0.4893	0.1735	0.691		14895	23591	19622		572339	681001	687349	
0.7872	0.2259	0.9189		19822	20317	20023		588906	597960	600567	
0.4682	0.1328	0.4281		16675	16736	14982		696719	658562	658132	
0.5786	0.6792	0.7341		26839	26415	27010		670660	683383	677153	
0.9048	0.1901	0.1513		16357	20453	15806		654256	685567	704491	
0.6044	0.3468	0.9155		20889	20765	20252		616476	628344	648680	
0.9358	0.2484	0.6488		22795	18284	18277		645439	562933	573234	
0.639	0.5658	0.4846		22495	22448	17680		676061	688429	596656	
0.2696	0.1451	0.3169		9652	9743	10129		645394	655949	580710	
0.5434	0.9822	0.9993		30011	25098	24694		649132	631945	674519	
0.8121	0.3943	0.9147		28349	28229	23970		720514	751372	743729	
0.8392	0.6087	0.1492		23156	22959	22821		657978	683798	692015	
0.5419	0.3637	0.9981		25018	26235	25420		697294	702774	704630	
0.4699	0.464	0.7749		19099	23523	23580		588378	693263	698569	
0.808	0.8177	0.1868		20315	20546	22389		668193	655141	652829	
0.0629	0.117	0.5208		10539	14054	9592		677511	696348	680075	
0.4923	0.1058	0.3393		17501	16638	17998		667128	675188	697289	
0.5439	0.2344	0.4794		18851	14404	14071		693505	665482	679213	
0.2193	0.5349	0.784		19542	19417	19395		734511	731047	755461	
0.1416	0.7585	0.1525		13449	13601	13512		683609	690460	661011	
0.6048	0.8619	0.2414		21774	17914	21857		693396	710506	718391	
0.9916	0.9538	0.5115		30448	30483	30456		724739	724645	739021	
0.7256	0.9037	0.7648		25713	30765	25682		669040	684666	588302	
0.9897	0.8953	0.1627		21323	21597	21211		666067	677912	698804	
0.2293	0.7684	0.2354		16590	17178	16065		654525	654359	672266	
0.9934	0.6539	0.8759		25945	25727	28165		653026	571668	581338	
0.8551	0.6282	0.7675		23740	28922	28801		607770	715439	745672	
0.6032	0.1913	0.7468		20466	20475	20435		654104	646809	645685	
0.8637	0.7849	0.0563		24539	22212	22960		641188	587246	603956	
0.2786	0.2495	0.4972		14479	13692	15073		549832	584298	595252	
0.8648	0.5781	0.5132		21078	23081	23080		589957	620983	625413	
0.2945	0.9274	0.4683		22637	22418	22283		676386	696716	694734	
0.6732	0.5786	0.0877		20288	20418	15311		648863	671490	661738	
0.9475	0.2044	0.9303		20825	20970	24759		659796	647304	621802	
0.1931	0.9216	0.8488		21511	21554	21483		592766	601704	601676	
0.9001	0.3581	0.1508		16798	18336	16205		654513	605081	579933	
0.2107	0.1121	0.3291		14946	15060	14033		639183	641312	662951	
0.5677	0.4921	0.1286		16276	15319	16324		586461	601404	617846	
0.5353	0.8396	0.4492		21620	21053	21201		599816	632208	636841	
0.8248	0.5936	0.1913		22538	22596	22500		688864	707746	728591	
0.0612	0.9476	0.3447		13626	17252	27167		590466	677138	707769	
0.3258	0.4621	0.5511		19472	15041	19082		669148	658077	724825	
0.8416	0.3126	0.3108		20412	20438	15952		597363	624268	657718	
0.6881	0.1815	0.7698		15555	22412	15753		601619	642103	666684	
0.9237	0.092	0.3182		19967	16810	15973		566232	585953	610472	
0.2306	0.3829	0.5578		17817	17830	18051		635408	667917	692112	
0.4328	0.5241	0.4571		16052	20750	16132		593615	647375	639658	
0.0744	0.5649	0.9306		16826	16294	18738		649409	668827	658962	
0.6316	0.6573	0.6654		23591	23369	18808		641606	609691	672074	
0.306	0.1277	0.2284		18406	13331	10599		612731	576923	551750	
0.3754	0.4037	0.7614		19285	18769	23192		543639	636926	651054	
0.3464	0.3458	0.6852		16866	16735	22688		618531	628491	665782	
0.666	0.715	0.7745		26204	26481	26373		628600	675129	673296	
0.8583	0.7521	0.1978		22783	24597	23091		601103	600973	597856	
0.2564	0.2226	0.1264		8581	8818	8875		608320	595952	616838	
0.8941	0.0649	0.6191		20673	18462	21904		686463	692452	684744	
0.7642	0.5273	0.7926		27746	27706	27698		704987	708291	716549	
0.1594	0.9414	0.2173		10835	11808	16706		557469	555354	646209	
0.0737	0.8717	0.7909		23042	19280	18462		596560	601433	661290	
0.4603	0.2714	0.4968		15295	15610	13528		581070	619672	598980	
0.0966	0.9914	0.1175		10875	10112	10537		524349	534396	535429	
0.6149	0.7678	0.9698		24207	24124	24114		590941	590630	590658	
0.1045	0.8847	0.2438		9836	9751	9755		560693	561003	572261	
0.2509	0.9542	0.5756		16614	17325	21921		546650	558011	664029	
0.2996	0.2374	0.6467		18310	13621	13665		643175	629046	637970	
0.1365	0.5315	0.5866		16986	15967	15731		624922	575878	575696	
0.3388	0.2177	0.0737		12040	14672	15580		567890	647442	566264	
0.5554	0.3697	0.2817		21275	15826	20577		649487	567624	685167	
0.8698	0.6716	0.359		32116	22558	20111		546332	576228	551705	
0.1884	0.1315	0.1131		10210	9854	12761		523471	523468	629556	
0.7982	0.6466	0.7534		29013	29100	29058		658420	655381	693401	
0.2326	0.8813	0.9726		23644	23242	22786		629133	591666	593654	
0.6871	0.83	0.2725		18976	19000	18948		594349	592485	620123	
0.834	0.4859	0.9387		29032	24197	29098		625748	547569	645291	
0.4257	0.5536	0.8061		23065	22885	21636		514195	525006	542991	
0.5368	0.6113	0.7657		20461	21142	20700		562241	566011	569623	
0.6598	0.5803	0.391		22134	22188	22220		565842	560125	605805	
0.4867	0.6206	0.9613		22967	21406	23080		581518	577523	637145	
0.9629	0.2977	0.5389		19065	24122	23258		555587	620649	636699	
0.8267	0.4583	0.9501		25822	30527	30970		568896	651374	649828	
0.3667	0.9058	0.5159		25330	19918	25751		646455	566691	669254	
0.0774	0.5424	0.376		26453	16234	15843		562719	644822	642909	
0.9584	0.7753	0.8521		34328	30881	30228		658035	675596	674148	
0.726	0.8675	0.6715		26799	24261	24085		620866	607152	588162	
0.4778	0.9296	0.3169		19894	18124	19064		580572	597174	594810	
0.5972	0.2606	0.1935		18121	13695	18239		598984	531646	621151	
0.7037	0.0533	0.7785		20519	19318	19891		639022	657809	665493	
0.0684	0.4916	0.8957		20150	19370	15519		606818	628863	606809	
0.4571	0.4147	0.8399		23734	23717	23702		640476	668161	674403	
0.4397	0.1486	0.4221		19277	19478	15129		651968	687213	629818	
0.9598	0.9306	0.4361		26123	25966	30259		641462	678356	707743	
0.7147	0.3725	0.7438		24169	24046	24177		652585	698447	706942	
0.31	0.3833	0.5532		13376	13335	17990		625948	636181	695209	
0.7633	0.9827	0.0861		24068	21892	19867		637614	610330	597348	
0.6276	0.4393	0.0902		18196	17903	14696		609133	618431	596203	
0.7871	0.0849	0.9645		20547	21054	20545		539179	578898	600292	
0.4148	0.1045	0.7276		17693	21443	16757		571887	664793	686288	
0.6302	0.8379	0.2345		17727	21819	17549		592578	598383	632736	
0.7263	0.8671	0.7867		26879	26850	26528		628479	632899	642835	
0.053	0.8183	0.9662		19021	22911	19516		525042	633822	543101	
0.1113	0.9239	0.9938		23776	19636	19480		636175	654382	670469	
0.0719	0.8341	0.7372		22793	21833	22170		656935	662599	697806	
0.3041	0.6044	0.8557		18200	17704	23111		628257	634702	682896	
0.8995	0.4512	0.9282		24647	29686	25802		628921	699990	721808	
0.6481	0.4653	0.8188		27682	27068	21525		698939	725518	710726	
0.9965	0.2495	0.2151		16451	18238	16253		623743	587886	645495	
0.6431	0.6147	0.6149		23776	29086	24741		612508	655647	678586	
0.1286	0.5757	0.5548		16180	15981	16391		594733	616733	622319	
0.6744	0.6333	0.7605		21602	21459	21268		519158	518324	536563	
0.8826	0.7317	0.25		23812	23864	22057		581897	605573	623148	
0.3661	0.1685	0.4773		18562	17576	16942		636034	564822	639720	
0.5314	0.0853	0.0878		13658	12905	13200		599952	612650	623338	
0.4147	0.5428	0.6321		16651	17408	16289		590824	658188	570261	
0.6433	0.8891	0.6406		23121	26937	28240		556053	647455	668397	
0.8213	0.7734	0.7423		29269	34221	33854		682440	686321	716544	
0.6396	0.2306	0.1366		13140	13708	12895		629748	655488	671889	
0.5688	0.2745	0.5782		20056	16304	15883		657602	657294	657931	
0.1273	0.4976	0.6986		14353	14479	17455		623409	647147	647224	
0.1659	0.4227	0.9579		20686	20169	20037		679019	673209	691074	
0.6965	0.2446	0.3388		18624	15451	15391		570396	570870	547975	
0.844	0.91	0.3091		27348	22711	24951		604524	678266	688805	
0.5275	0.1188	0.087		11805	15165	14516		617282	661682	673571	
0.6478	0.8574	0.9478		31577	30798	26837		648873	636958	644445	
0.9777	0.1047	0.9715		24196	24035	23978		613244	650204	677674	
0.2408	0.585	0.5741		15326	15293	15320		592661	598432	596304	
0.6548	0.3019	0.6626		20633	17600	17511		646114	587740	629511	
0.3083	0.6161	0.4283		18119	14278	13963		653337	564350	568916	
0.5697	0.2242	0.1695		18039	13369	17462		628310	545367	643345	
0.2314	0.201	0.1978		12560	12451	15007		580090	587088	643994	
0.5712	0.4262	0.8078		20334	25063	30030		667472	697312	688122	
0.4192	0.8119	0.6255		23796	23585	18893		674552	677175	661287	
0.073	0.4434	0.9284		17479	17255	15532		594272	606495	627505	
0.327	0.9667	0.9365		26260	26030	24042		682228	693488	697321	
0.1179	0.3957	0.1414		10128	19651	10390		615385	599168	587957	
0.8241	0.2837	0.1536		20639	20871	21777		669707	693755	717627	
0.1485	0.9807	0.3843		20716	20041	15029		673688	665557	665988	
0.0842	0.289	0.2081		14109	12961	13730		624129	626910	625104	
0.7803	0.6072	0.6321		22582	23245	23654		588038	558452	571131	
0.3545	0.9045	0.2522		13125	17123	12997		566431	668647	580222	
