32	33	34	
0.8196	0.9662	0.7842		6808	6856	6931		163444	150167	153716	
0.2109	0.6212	0.4436		3199	3189	3207		159803	151389	149782	
0.2957	0.4167	0.5213		3310	3369	3357		178056	161973	161064	
0.6469	0.4894	0.1368		3817	3848	3892		169305	156819	157362	
0.9108	0.1467	0.4356		5537	5773	4676		242387	237675	240606	
0.2062	0.8649	0.2019		4389	3862	5034		209567	214381	242522	
0.6089	0.2474	0.0888		3825	4072	3531		208633	212753	208608	
0.5369	0.1858	0.2155		3947	3169	3169		178501	187030	159498	
0.7046	0.9815	0.9752		6590	6528	7555		166686	161924	176141	
0.4559	0.9285	0.7622		5897	5825	5947		163392	166350	164823	
0.6108	0.4232	0.7411		4942	5046	4662		153080	165661	154662	
0.8151	0.9022	0.2934		5671	5656	5605		166586	168409	167391	
0.8097	0.4889	0.5199		6454	5786	5330		188336	171066	201858	
0.9614	0.5553	0.1075		5171	6527	5743		160928	167046	218204	
0.2666	0.3826	0.1813		3549	3990	4063		186751	252545	268792	
0.264	0.5514	0.2686		3729	3424	3364		218768	216174	216872	
0.7037	0.163	0.7896		5965	4741	4757		236988	228944	222753	
0.5441	0.4806	0.1705		3842	4751	4430		174026	234216	219705	
0.6163	0.466	0.4072		4475	4891	4769		163982	167979	176633	
0.5657	0.8018	0.6265		6330	6538	6004		247060	221296	232572	
0.23	0.6563	0.9382		4394	4301	4340		167786	169546	164574	
0.1462	0.9878	0.6555		4282	4086	4861		170501	174228	189553	
0.5416	0.813	0.6815		7151	7515	8319		223210	232204	245373	
0.7884	0.9557	0.4003		6248	6289	6297		182448	167661	192258	
0.6987	0.1299	0.1856		3273	3238	3547		193002	162672	171291	
0.2235	0.4953	0.2059		4316	3875	4077		220401	217154	218558	
0.919	0.8643	0.1737		5740	5708	5750		188806	165098	175070	
0.88	0.3021	0.7816		6732	6494	5315		219146	217565	200211	
0.4965	0.0736	0.4367		3360	3321	3407		186663	152579	160154	
0.7497	0.9879	0.1054		5526	5309	6077		171629	156673	192015	
0.3178	0.1497	0.0971		3963	3224	2446		216013	217658	201393	
0.3995	0.97	0.945		6133	5990	6301		164765	160644	164598	
0.5398	0.9074	0.5753		5360	5263	5380		200761	158117	158217	
0.2834	0.5021	0.1612		3088	3046	3011		153504	156068	152154	
0.0653	0.8593	0.4846		3521	3498	3490		154515	155362	153194	
0.2651	0.4019	0.8959		3837	3832	3840		158196	158597	161088	
0.734	0.928	0.7294		7042	7089	6990		166666	165809	168673	
0.9716	0.1044	0.9874		5558	4711	4669		182302	176283	164489	
0.6492	0.6909	0.3063		4661	4569	4544		152466	152583	152762	
0.6162	0.4228	0.6148		4618	4655	4558		164738	161289	160370	
0.7822	0.8967	0.551		9514	7987	6846		290719	232678	229066	
0.7437	0.198	0.9912		4859	4826	4843		166449	163065	164176	
0.9436	0.7981	0.4845		6591	6601	6575		163928	164800	162918	
0.0617	0.849	0.3989		3476	3472	3647		159574	159258	161225	
0.2588	0.0963	0.9954		3030	2947	2969		151090	151391	148149	
0.6044	0.4254	0.7036		4659	4684	4634		159789	159765	162179	
0.3008	0.2948	0.9909		3716	3736	3680		163421	152434	149955	
0.4011	0.3986	0.7889		4617	4611	4580		171742	170214	166703	
0.1678	0.7077	0.7906		4114	4096	4100		154174	154500	151894	
0.3357	0.8224	0.5946		4645	4587	4594		161915	160820	156454	
0.0855	0.7134	0.0826		2376	2323	2765		151510	152193	162179	
0.5775	0.205	0.1987		3464	3424	3452		157999	158429	167710	
0.7808	0.6126	0.4898		5638	5550	5565		153431	152335	156117	
0.6848	0.9809	0.7317		6498	6464	6762		158854	156105	152204	
0.6636	0.9454	0.05		4774	4832	4635		166871	170928	170143	
0.4189	0.5866	0.2112		3989	3934	4303		155255	167465	175636	
0.8554	0.1957	0.7526		6215	6321	7505		232886	244901	265388	
0.5079	0.8267	0.2052		6250	5665	5550		214621	210990	205407	
0.3557	0.1975	0.9187		4329	5511	4469		171187	211039	214620	
0.5834	0.9706	0.4973		5983	6088	5634		186331	201404	162206	
0.5586	0.7929	0.1266		4443	4432	4390		148107	150144	149908	
0.5532	0.6003	0.5507		4818	4775	4880		159288	158707	159780	
0.5095	0.4203	0.6474		4531	4470	4506		157610	157444	156717	
0.3896	0.6182	0.3209		6042	5876	5792		182166	212834	189810	
